study_id,author,year,clinical_group,bcss,sample_size,mean_score,sd
9,Appiah-Kusi et al,2017,CHR,positive_self,30,9.77,6.62
9,Appiah-Kusi et al,2017,Control,positive_self,36,15.23,4.8
10,Cowan et al,2019,CHR,positive_self,73,12.1,6.1
10,Cowan et al,2019,Control,positive_self,73,16.1,5.2
11,Cowan et al,2024,CHR,positive_self,49,2.1,1.08
11,Cowan et al,2024,Control,positive_self,52,2.6,0.91
12,Stowkowy et al,2016,CHR,positive_self,66,10.92,6.59
12,Stowkowy et al,2016,Control,positive_self,135,17.89,4.45
13,Taylor et al ,2014,CHR,positive_self,113,7.69,5.62
13,Taylor et al ,2014,Control,positive_self,28,8.38,5.96
