study_id,author,year,clinical_group,bcss,sample_size,mean_score,sd
2,Haarmans et al,2018,SZ,positive_other,19,1.31,0.73
2,Haarmans et al,2018,Control,positive_other,30,1.87,0.77
3,Peters et al,2016,SZ,positive_other,83,11,6
3,Peters et al,2016,Control,positive_other,82,13.6,5.4
4,Ucok et al,2024,SZ,positive_other,742,11.58,4.8
4,Ucok et al,2024,Control,positive_other,1039,10.98,4.2
5,Vorontsova et al,2013,SZ,positive_other,30,9.57,5.79
5,Vorontsova et al,2013,Control,positive_other,30,13.13,4.47
6,MacKinnon et al,2011,SZ,positive_other,22,10.75,5.07
6,MacKinnon et al,2011,Control,positive_other,20,12.3,5.27
7,Taylor et al ,2014,SZ,positive_other,20,10.56,4.95
7,Taylor et al ,2014,Control,positive_other,28,9.38,5.57
8,Fowler et al,2006,SZ,positive_other,252,10.3,6
8,Fowler et al,2006,Control,positive_other,754,10.4,4.5
