study_id,author,year,clinical_group,bcss,sample_size,mean_score,sd,,
1,Collett et al,2016,SZ,positive_self,21,6.6,4.71,,
1,Collett et al,2016,Control,positive_self,21,14.95,4.73,,
2,Haarmans et al,2018,SZ,positive_self,19,2,0.92,,
2,Haarmans et al,2018,Control,positive_self,30,2.5,1,,
3,Peters et al,2016,SZ,positive_self,83,10.2,6.9,,
3,Peters et al,2016,Control,positive_self,82,14.2,5.5,,
4,Ucok et al,2024,SZ,positive_self,742,11.37,5.8,,
4,Ucok et al,2024,Control,positive_self,1039,13.6,5.4,,
5,Vorontsova et al,2018,SZ,positive_self,30,13.03,5.94,,
5,Vorontsova et al,2018,Control,positive_self,30,13.67,4.85,,
6,MacKinnon et al,2011,SZ,positive_self,22,9.56,5.75,,
6,MacKinnon et al,2011,Control,positive_self,20,14.05,5.21,,
7,Stokowy et al,2016,SZ,positive_self,66,10.92,6.59,,
7,Stokowy et al,2016,Control,positive_self,135,17.89,4.45,,
8,Taylor et al ,2013,SZ,positive_self,20,10.75,7.92,,
8,Taylor et al ,2013,Control,positive_self,28,8.38,5.96,,
