study_id,author,year,clinical_group,ysq,sample_size,mean_score,sd,,
13,Bortolon et al,2013,SZ,Defectiveness_Shame,48,13.17,6.39,,
13,Bortolon et al,2013,Control,Defectiveness_Shame,43,8.05,3.94,,
14,Khosravani et al,2019,SZ,Defectiveness_Shame,105,14.2,7.61,,
14,Khosravani et al,2019,Control,Defectiveness_Shame,90,7.5,3.44,,
15,Khosravani et al,2021,SZ,Defectiveness_Shame,82,12.51,7.46,,
15,Khosravani et al,2021,Control,Defectiveness_Shame,60,9.85,5.29,,
16,Sundag et al,2018,SZ,Defectiveness_Shame,20,2.79,1.49,,
16,Sundag et al,2018,Control,Defectiveness_Shame,40,1.53,0.77,,
17,Sundag et al,2016,SZ,Defectiveness_Shame,81,2.55,1.27,,
17,Sundag et al,2016,Control,Defectiveness_Shame,60,1.48,0.72,,
