study_id,author,year,clinical_group,ysq,sample_size,mean_score,sd,,
13,Bortolon et al,2013,SZ,Dependence_Incompetence,48,7.16,3.72,,
13,Bortolon et al,2013,Control,Dependence_Incompetence,43,4.65,1.98,,
14,Khosravani et al,2019,SZ,Dependence_Incompetence,105,13.18,6.49,,
14,Khosravani et al,2019,Control,Dependence_Incompetence,90,7.5,3.35,,
15,Khosravani et al,2021,SZ,Dependence_Incompetence,82,12.35,6.92,,
15,Khosravani et al,2021,Control,Dependence_Incompetence,60,9.97,5.04,,
16,Sundag et al,2018,SZ,Dependence_Incompetence,20,2.77,1.18,,
16,Sundag et al,2018,Control,Dependence_Incompetence,40,1.36,0.64,,
17,Sundag et al,2016,SZ,Dependence_Incompetence,81,2.55,1.22,,
17,Sundag et al,2016,Control,Dependence_Incompetence,60,1.4,0.61,,
