study_id,author,year,clinical_group,ysq,sample_size,mean_score,sd
13,Bortolon et al,2013,SZ,Emotional_Deprivation,48,15.44,5.61
13,Bortolon et al,2013,Control,Emotional_Deprivation,43,9.77,3.99
14,Khosravani et al,2019,SZ,Emotional_Deprivation,105,18.1,8.1
14,Khosravani et al,2019,Control,Emotional_Deprivation,90,8.83,3.67
15,Khosravani et al,2021,SZ,Emotional_Deprivation,82,15.94,7.77
15,Khosravani et al,2021,Control,Emotional_Deprivation,60,11.6,5.86
16,Sundag et al,2018,SZ,Emotional_Deprivation,20,3.69,1.41
16,Sundag et al,2018,Control,Emotional_Deprivation,40,1.8,1.12
17,Sundag et al,2016,SZ,Emotional_Deprivation,81,3.24,1.52
17,Sundag et al,2016,Control,Emotional_Deprivation,60,1.75,0.98
