study_id,author,year,clinical_group,ysq,sample_size,mean_score,sd
13,Bortolon et al,2013,SZ,Emotional_Inhibition,48,10.5,5.09
13,Bortolon et al,2013,Control,Emotional_Inhibition,43,7.95,3.23
14,Khosravani et al,2019,SZ,Emotional_Inhibition,105,15.7,6.93
14,Khosravani et al,2019,Control,Emotional_Inhibition,90,9.27,3.06
15,Khosravani et al,2021,SZ,Emotional_Inhibition,82,14.2,6.83
15,Khosravani et al,2021,Control,Emotional_Inhibition,60,10.97,6.01
16,Sundag et al,2018,SZ,Emotional_Inhibition,20,2.98,1.27
16,Sundag et al,2018,Control,Emotional_Inhibition,40,1.91,0.94
17,Sundag et al,2016,SZ,Emotional_Inhibition,81,2.76,1.3
17,Sundag et al,2016,Control,Emotional_Inhibition,60,2.03,1.05
