study_id,author,year,clinical_group,ysq,sample_size,mean_score,sd,,
13,Bortolon et al,2013,SZ,Enmeshment,48,11.65,6.13,,
13,Bortolon et al,2013,Control,Enmeshment,43,6.7,2.77,,
14,Khosravani et al,2019,SZ,Enmeshment,105,15.29,7.41,,
14,Khosravani et al,2019,Control,Enmeshment,90,9.47,4.2,,
15,Khosravani et al,2021,SZ,Enmeshment,82,14.23,7.53,,
15,Khosravani et al,2021,Control,Enmeshment,60,9.68,4.12,,
16,Sundag et al,2018,SZ,Enmeshment,20,3.24,1.4,,
16,Sundag et al,2018,Control,Enmeshment,40,1.68,0.96,,
17,Sundag et al,2016,SZ,Enmeshment,81,2.8,1.41,,
17,Sundag et al,2016,Control,Enmeshment,60,1.62,0.84,,
