study_id,author,year,clinical_group,ysq,sample_size,mean_score,sd,,
14,Khosravani et al,2019,SZ,Entitlement,105,17.51,6.27,,
14,Khosravani et al,2019,Control,Entitlement,90,10.7,3.94,,
15,Khosravani et al,2021,SZ,Entitlement,82,16.77,6.57,,
15,Khosravani et al,2021,Control,Entitlement,60,11,5.21,,
16,Sundag et al,2018,SZ,Entitlement,20,3.36,1,,
16,Sundag et al,2018,Control,Entitlement,40,2.27,0.93,,
17,Sundag et al,2016,SZ,Entitlement,81,3,1.06,,
17,Sundag et al,2016,Control,Entitlement,60,2.37,0.96,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
