study_id,author,year,clinical_group,ysq,sample_size,mean_score,sd,,
13,Bortolon et al,2013,SZ,Failure,48,13.54,6.31,,
13,Bortolon et al,2013,Control,Failure,43,8.5,3.66,,
14,Khosravani et al,2019,SZ,Failure,105,14.18,6.95,,
14,Khosravani et al,2019,Control,Failure,90,8.23,4.36,,
15,Khosravani et al,2021,SZ,Failure,82,12.01,6.48,,
15,Khosravani et al,2021,Control,Failure,60,10.15,4.31,,
16,Sundag et al,2018,SZ,Failure,20,2.95,1.27,,
16,Sundag et al,2018,Control,Failure,40,1.75,0.82,,
17,Sundag et al,2016,SZ,Failure,81,3.04,1.33,,
17,Sundag et al,2016,Control,Failure,60,1.77,0.92,,
