study_id,author,year,clinical_group,ysq,sample_size,mean_score,sd,,
13,Bortolon et al,2013,SZ,Insufficient_Self_control,48,23.44,7.72,0.47,0.23
13,Bortolon et al,2013,Control,Insufficient_Self_control,43,19.8,7.72,,
14,Khosravani et al,2019,SZ,Insufficient_Self_control,105,15.94,6.07,1.04,0.46
14,Khosravani et al,2019,Control,Insufficient_Self_control,90,10.53,4.12,,
15,Khosravani et al,2021,SZ,Insufficient_Self_control,82,13.35,5.05,0.71,0.33
15,Khosravani et al,2021,Control,Insufficient_Self_control,60,9.57,5.61,,
16,Sundag et al,2018,SZ,Insufficient_Self_control,20,3.68,1.16,1.35,0.56
16,Sundag et al,2018,Control,Insufficient_Self_control,40,2.21,1.02,,
17,Sundag et al,2016,SZ,Insufficient_Self_control,81,3.42,1.28,0.88,0.4
17,Sundag et al,2016,Control,Insufficient_Self_control,60,2.38,1.08,,
,,,,,,,,,
,,,,,,,,,
