study_id,author,year,clinical_group,ysq,sample_size,mean_score,sd,,
13,Bortolon et al,2013,SZ,Self_sacrifice,48,16.23,6.48,,
13,Bortolon et al,2013,Control,Self_sacrifice,43,14.5,5.05,,
14,Khosravani et al,2019,SZ,Self_sacrifice,105,18.55,5.9,,
14,Khosravani et al,2019,Control,Self_sacrifice,90,15,5.14,,
15,Khosravani et al,2021,SZ,Self_sacrifice,82,18.01,6.14,,
15,Khosravani et al,2021,Control,Self_sacrifice,60,13.95,7.47,,
16,Sundag et al,2018,SZ,Self_sacrifice,20,3.43,1.34,,
16,Sundag et al,2018,Control,Self_sacrifice,40,3.27,1.17,,
17,Sundag et al,2016,SZ,Self_sacrifice,81,3.49,1.13,,
17,Sundag et al,2016,Control,Self_sacrifice,60,2.96,1.05,,
,,,,,,,,,
,,,,,,,,,
