study_id,author,year,clinical_group,ysq,sample_size,mean_score,sd,,
13,Bortolon et al,2013,SZ,Subjugation,48,16.21,7.08,,
13,Bortolon et al,2013,Control,Subjugation,43,10.43,3.47,,
14,Khosravani et al,2019,SZ,Subjugation,105,14.05,7.38,,
14,Khosravani et al,2019,Control,Subjugation,90,8.7,3.77,,
15,Khosravani et al,2021,SZ,Subjugation,82,13.07,7.74,,
15,Khosravani et al,2021,Control,Subjugation,60,10.25,5.3,,
16,Sundag et al,2018,SZ,Subjugation,20,2.99,1.14,,
16,Sundag et al,2018,Control,Subjugation,40,1.78,0.87,,
17,Sundag et al,2016,SZ,Subjugation,81,2.87,1.29,,
17,Sundag et al,2016,Control,Subjugation,60,1.8,0.8,,
