study_id,author,year,clinical_group,ysq,sample_size,mean_score,sd,,
13,Bortolon et al,2013,SZ,Unrelenting_Standards,48,12.31,5.38,,
13,Bortolon et al,2013,Control,Unrelenting_Standards,43,12.57,4.37,,
14,Khosravani et al,2019,SZ,Unrelenting_Standards,105,19.98,5.85,,
14,Khosravani et al,2019,Control,Unrelenting_Standards,90,14.17,5.29,,
15,Khosravani et al,2021,SZ,Unrelenting_Standards,82,20.09,6.2,,
15,Khosravani et al,2021,Control,Unrelenting_Standards,60,13.27,7.26,,
16,Sundag et al,2018,SZ,Unrelenting_Standards,20,3.69,0.91,,
16,Sundag et al,2018,Control,Unrelenting_Standards,40,3.18,1.35,,
17,Sundag et al,2016,SZ,Unrelenting_Standards,81,3.72,1.14,,
17,Sundag et al,2016,Control,Unrelenting_Standards,60,3.29,1.19,,
