study_id,author,year,sample_size,mean_age,sd_age,percent_male,combined_clinical_group,clinical_group,comparison_group,measure_type,belief_type,symptom_subtype,trauma_subtype,psychosis_specificity,suicidal_ideation,effect_size,effect_size_type,effect_size_sd,effect_size_se,ci_lower,ci_upper,p_value,bcss_pos_self_mean,bcss_pos_self_sd,bcss_neg_self_mean,bcss_neg_self_sd,bcss_pos_other_mean,bcss_pos_other_sd,bcss_neg_other_mean,bcss_neg_other_sd,symptom_measure,symptom_score_mean,symptom_score_sd,depression_measure,depression_score_mean,depression_score_sd,notes,ephpp_global_rating,effect_size_r,fishers_z,fishers_z_se,belief_category,symptom_category,trauma_category
1,Addington & Tran,2009,38,19.7,3.4,74,chr,chr,NA,BCSS,negative_self,unusual_thought_content,NA,UTC,NA,0.41,spearmans_r,NA,NA,NA,NA,0.05,NA,NA,NA,NA,NA,NA,NA,NA,SOPS,NA,NA,CDSS,NA,NA,NA,Strong,0.41,0.4356112232362243,0.1690308509457033,negative_self,NA,NA
1,Addington & Tran,2009,38,19.7,3.4,74,chr,chr,NA,BCSS,negative_other,unusual_thought_content,NA,UTC,NA,0.44,spearmans_r,NA,NA,NA,NA,0.01,NA,NA,NA,NA,NA,NA,NA,NA,SOPS,NA,NA,CDSS,NA,NA,NA,Strong,0.44,0.47223080442042564,0.1690308509457033,negative_other,NA,NA
1,Addington & Tran,2009,38,19.7,3.4,74,chr,chr,NA,BCSS,negative_self,suspiciousness,NA,suspiciousness,NA,0.39,spearmans_r,NA,NA,NA,NA,0.05,NA,NA,NA,NA,NA,NA,NA,NA,SOPS,NA,NA,CDSS,NA,NA,NA,Strong,0.39,0.4118000344786903,0.1690308509457033,negative_self,persecutory,NA
1,Addington & Tran,2009,38,19.7,3.4,74,chr,chr,NA,BCSS,negative_other,suspiciousness,NA,suspiciousness,NA,0.67,spearmans_r,NA,NA,NA,NA,0.01,NA,NA,NA,NA,NA,NA,NA,NA,SOPS,NA,NA,CDSS,NA,NA,NA,Strong,0.67,0.8107431254751375,0.1690308509457033,negative_other,persecutory,NA
1,Addington & Tran,2009,38,19.7,3.4,74,chr,chr,NA,BCSS,negative_self,total_positive_symptoms,NA,APS,NA,0.47,spearmans_r,NA,NA,NA,NA,0.01,NA,NA,NA,NA,NA,NA,NA,NA,SOPS,NA,NA,CDSS,NA,NA,NA,Strong,0.47,0.5100703366133071,0.1690308509457033,negative_self,NA,NA
1,Addington & Tran,2009,38,19.7,3.4,74,chr,chr,NA,BCSS,negative_other,total_positive_symptoms,NA,APS,NA,0.68,spearmans_r,NA,NA,NA,NA,0.01,NA,NA,NA,NA,NA,NA,NA,NA,SOPS,NA,NA,CDSS,NA,NA,NA,Strong,0.68,0.8291140383017662,0.1690308509457033,negative_other,NA,NA
1,Addington & Tran,2009,38,19.7,3.4,74,chr,chr,NA,BCSS,positive_other,disorganized_communication,NA,disorganized_communication,NA,-0.33,spearmans_r,NA,NA,NA,NA,0.05,NA,NA,NA,NA,NA,NA,NA,NA,SOPS,NA,NA,CDSS,NA,NA,NA,Strong,-0.33,-0.34282825441539394,0.1690308509457033,positive_other,NA,NA
1,Addington & Tran,2009,38,19.7,3.4,74,chr,chr,NA,BCSS,negative_other,perceptual_abnormalities,NA,perceptual_abnormalities,NA,0.46,spearmans_r,NA,NA,NA,NA,0.01,NA,NA,NA,NA,NA,NA,NA,NA,SOPS,NA,NA,CDSS,NA,NA,NA,Strong,0.46,0.49731128757203097,0.1690308509457033,negative_other,NA,NA
2,Addington et al,2013,360,18.98,4.18,58.3,chr,chr,NA,BCSS,negative_self,depression,NA,NA,depression,0.33,spearmans_r,NA,NA,NA,NA,1e-4,NA,NA,NA,NA,NA,NA,NA,NA,SOPS,NA,NA,CDSS,5.98,4.83,total_trauma,Strong,0.33,0.34282825441539394,0.05292561240249631,negative_self,NA,NA
2,Addington et al,2013,180,19.54,4.78,55.6,healthy_control,NA,healthy_control,BCSS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,total_trauma,Strong,NA,NA,0.07516460280028289,NA,NA,NA
